announcement_date,available_in_zeroeval,created_at,data_type,description,fine_tuned_from_model_id,knowledge_cutoff,license_id,model_family_id,model_id,multimodal,name,organization_country,organization_description,organization_id,organization_name,organization_website,param_count,release_date,source_api_ref,source_paper,source_playground,source_repo_link,source_scorecard_blog_link,source_weights_link,training_tokens,updated_at
2024-02-29,True,2025-07-19T19:49:05.738279+00:00,model,"Claude 3 Opus is Anthropic's most intelligent model, with best-in-market performance on highly complex tasks. It can navigate open-ended prompts and sight-unseen scenarios with remarkable fluency and human-like understanding, showing the outer limits of what's possible with generative AI.",,,proprietary,,claude-3-opus-20240229,True,Claude 3 Opus,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-02-29,https://www.anthropic.com/claude,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,https://claude.ai,,https://www.anthropic.com/news/claude-3-family,,,2025-07-19T19:49:05.738279+00:00
2024-02-29,True,2025-07-19T19:49:05.740647+00:00,model,"Claude 3 Sonnet strikes the ideal balance between intelligence and speed—particularly for enterprise workloads. It delivers strong performance at a lower cost compared to its peers, and is engineered for high endurance in large-scale AI deployments.",,,proprietary,,claude-3-sonnet-20240229,True,Claude 3 Sonnet,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-02-29,https://www.anthropic.com/claude,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,https://claude.ai,,https://www.anthropic.com/news/claude-3-family,,,2025-07-19T19:49:05.740647+00:00
2025-08-05,True,2025-08-05T00:00:00.000000+00:00,model,"Claude Opus 4.1 is a hybrid reasoning model that pushes the frontier for coding and AI agents, featuring a 200K context window. It delivers superior performance and precision for real-world coding and agentic tasks, handling complex multi-step problems with rigor and attention to detail. With extended thinking capabilities, it offers instant responses or extended step-by-step thinking visible through user-friendly summaries. It advances state-of-the-art coding performance to 74.5% on SWE-bench Verified, excels at agentic search and research, and produces human-quality content with exceptional writing abilities. It supports 32K output tokens and adapts to specific coding styles while delivering exceptional quality for extensive generation and refactoring projects.",,,proprietary,,claude-opus-4-1-20250805,True,Claude Opus 4.1,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2025-08-05,https://docs.anthropic.com/en/docs/about-claude/models/all-models,,https://claude.ai,,https://www.anthropic.com/news/claude-opus-4-1,,,2025-08-05T00:00:00.000000+00:00
2025-05-22,True,2025-07-19T19:49:05.760983+00:00,model,"Claude Opus 4 is Anthropic's most powerful model and the world's best coding model, part of the Claude 4 family. It delivers sustained performance on complex, long-running tasks and agent workflows. Opus 4 excels at coding, advanced reasoning, and can use tools (like web search) during extended thinking. It supports parallel tool execution and has improved memory capabilities.",,,proprietary,,claude-opus-4-20250514,True,Claude Opus 4,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2025-05-22,https://docs.anthropic.com/en/docs/about-claude/models/all-models,,https://claude.ai,,https://www.anthropic.com/news/claude-4,,,2025-07-19T19:49:05.760983+00:00
2025-05-22,True,2025-07-19T19:49:05.750182+00:00,model,"Claude Sonnet 4, part of the Claude 4 family, is a significant upgrade to Claude Sonnet 3.7. It excels in coding (72.7% on SWE-bench) and reasoning, responding more precisely to instructions. Sonnet 4 offers an optimal mix of capability and practicality, with enhanced steerability, and supports extended thinking with tool use.",,,proprietary,,claude-sonnet-4-20250514,True,Claude Sonnet 4,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2025-05-22,https://docs.anthropic.com/en/docs/about-claude/models/all-models,,https://claude.ai,,https://www.anthropic.com/news/claude-4,,,2025-07-19T19:49:05.750182+00:00
2025-09-29,True,2025-07-19T19:49:05.750182+00:00,model,Claude Sonnet 4.5 is the best coding model in the world. It's the strongest model for building complex agents. It’s the best model at using computers. And it shows substantial gains in reasoning and math. Highest intelligence across most tasks with exceptional agent and coding capabilities.,,2025-01-31,proprietary,,claude-sonnet-4-5-20250929,True,Claude Sonnet 4.5,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2025-09-29,https://docs.anthropic.com/en/docs/about-claude/models/all-models,,https://claude.ai,,https://www.anthropic.com/news/claude-sonnet-4-5,,,2025-07-19T19:49:05.750182+00:00
2024-08-30,True,2025-07-19T19:49:05.415748+00:00,model,"C4AI Command R+ is a 104 billion parameter model with advanced capabilities, including Retrieval Augmented Generation (RAG) and multi-step tool use, optimized for multilingual tasks.",,,cc_by_nc,,command-r-plus-04-2024,False,Command R+,CA,Enterprise AI company,cohere,Cohere,https://cohere.ai,104000000000,2024-08-30,https://docs.cohere.com/v2/docs/command-r-plus,,https://huggingface.co/CohereForAI/c4ai-command-r-plus,https://huggingface.co/CohereForAI/c4ai-command-r-plus,,,,2025-07-19T19:49:05.415748+00:00
2025-01-20,False,2025-01-20T00:00:00.000000+00:00,model,DeepSeek-R1 is a reasoning-focused language model from DeepSeek that features advanced thinking capabilities. It serves as the foundation for DeepSeek's reasoning model family and pioneered their thinking mode approach for complex problem-solving tasks.,,,mit,,deepseek-r1,False,DeepSeek-R1,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2025-01-20,https://api.deepseek.com/docs,,https://chat.deepseek.com/,,https://www.deepseek.com/,https://huggingface.co/deepseek-ai/DeepSeek-R1,,2025-09-15T00:00:00.000000+00:00
2025-05-28,False,2025-05-28T00:00:00.000000+00:00,model,"DeepSeek-R1-0528 is the May 28, 2025 version of DeepSeek's reasoning model. It features advanced thinking capabilities and serves as a benchmark comparison for newer models like DeepSeek-V3.1. This model excels in complex reasoning tasks, mathematical problem-solving, and code generation through its thinking mode approach.",deepseek-r1,,mit,,deepseek-r1-0528,False,DeepSeek-R1-0528,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2025-05-28,https://api.deepseek.com/docs,,https://chat.deepseek.com/,,https://www.deepseek.com/,https://huggingface.co/deepseek-ai/DeepSeek-R1,,2025-09-15T00:00:00.000000+00:00
2025-01-20,True,2025-07-19T19:49:05.685839+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-llama-70b,False,DeepSeek R1 Distill Llama 70B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,70600000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,14800000000000,2025-07-19T19:49:05.685839+00:00
2025-01-20,True,2025-07-19T19:49:05.683265+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-llama-8b,False,DeepSeek R1 Distill Llama 8B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,8030000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,14800000000000,2025-07-19T19:49:05.683265+00:00
2025-01-20,True,2025-07-19T19:49:05.672853+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-qwen-1.5b,False,DeepSeek R1 Distill Qwen 1.5B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,1780000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,14800000000000,2025-07-19T19:49:05.672853+00:00
2025-01-20,True,2025-07-19T19:49:05.688267+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-qwen-14b,False,DeepSeek R1 Distill Qwen 14B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,14800000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,14800000000000,2025-07-19T19:49:05.688267+00:00
2025-01-20,True,2025-07-19T19:49:05.690560+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-qwen-32b,False,DeepSeek R1 Distill Qwen 32B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,32800000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,14800000000000,2025-07-19T19:49:05.690560+00:00
2025-01-20,True,2025-07-19T19:49:05.669926+00:00,model,"DeepSeek-R1 is the first-generation reasoning model built atop DeepSeek-V3 (671B total parameters, 37B activated per token). It incorporates large-scale reinforcement learning (RL) to enhance its chain-of-thought and reasoning capabilities, delivering strong performance in math, code, and multi-step reasoning tasks.",,,mit,,deepseek-r1-distill-qwen-7b,False,DeepSeek R1 Distill Qwen 7B,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,7620000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/pdf/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14800000000000,2025-07-19T19:49:05.669926+00:00
2025-01-20,True,2025-07-19T19:49:05.902496+00:00,model,"DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrated remarkable performance on reasoning. With RL, DeepSeek-R1-Zero naturally emerged with numerous powerful and interesting reasoning behaviors. However, DeepSeek-R1-Zero encounters challenges such as endless repetition, poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1 across math, code, and reasoning tasks.",deepseek-v3,,mit,,deepseek-r1-zero,False,DeepSeek R1 Zero,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2025-01-20,https://api-docs.deepseek.com/news/news250120,https://arxiv.org/abs/2501.12948,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-R1,,https://huggingface.co/deepseek-ai/DeepSeek-R1,14800000000000,2025-07-19T19:49:05.902496+00:00
2024-05-08,True,2025-07-19T19:49:05.680851+00:00,model,"DeepSeek-V2.5 is an upgraded version that combines DeepSeek-V2-Chat and DeepSeek-Coder-V2-Instruct, integrating general and coding abilities. It better aligns with human preferences and has been optimized in various aspects, including writing and instruction following.",,,deepseek,,deepseek-v2.5,False,DeepSeek-V2.5,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,236000000000,2024-05-08,https://www.deepseek.com/,https://arxiv.org/abs/2405.04434,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,,2025-07-19T19:49:05.680851+00:00
2024-12-25,True,2025-07-19T19:49:05.677307+00:00,model,"A powerful Mixture-of-Experts (MoE) language model with 671B total parameters (37B activated per token). Features Multi-head Latent Attention (MLA), auxiliary-loss-free load balancing, and multi-token prediction training. Pre-trained on 14.8T tokens with strong performance in reasoning, math, and code tasks.",,,mit_+_model_license_(commercial_use_allowed),,deepseek-v3,False,DeepSeek-V3,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2024-12-25,https://platform.deepseek.com,https://github.com/deepseek-ai/DeepSeek-V3/blob/main/DeepSeek_V3.pdf,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-V3,,https://huggingface.co/deepseek-ai/DeepSeek-V3,14800000000000,2025-07-19T19:49:05.677307+00:00
2025-03-25,True,2025-07-19T19:49:05.693499+00:00,model,"A powerful Mixture-of-Experts (MoE) language model with 671B total parameters (37B activated per token). Features Multi-head Latent Attention (MLA), auxiliary-loss-free load balancing, and multi-token prediction training. Pre-trained on 14.8T tokens with strong performance in reasoning, math, and code tasks.",,,mit_+_model_license_(commercial_use_allowed),,deepseek-v3-0324,False,DeepSeek-V3 0324,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2025-03-25,https://platform.deepseek.com,https://arxiv.org/abs/2412.19437,https://chat.deepseek.com,https://github.com/deepseek-ai/DeepSeek-V3,,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,14800000000000,2025-07-19T19:49:05.693499+00:00
2025-01-10,True,2025-01-10T00:00:00.000000+00:00,model,"DeepSeek-V3.1 is a hybrid model supporting both thinking and non-thinking modes through different chat templates. Built on DeepSeek-V3.1-Base with a two-phase long context extension (32K phase: 630B tokens, 128K phase: 209B tokens), it features 671B total parameters with 37B activated. Key improvements include smarter tool calling through post-training optimization, higher thinking efficiency achieving comparable quality to DeepSeek-R1-0528 while responding more quickly, and UE8M0 FP8 scale data format for model weights and activations. The model excels in both reasoning tasks (thinking mode) and practical applications (non-thinking mode), with particularly strong performance in code agent tasks, math competitions, and search-based problem solving.",deepseek-v3,,mit,,deepseek-v3.1,False,DeepSeek-V3.1,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,671000000000,2025-01-10,https://api.deepseek.com/docs,https://github.com/deepseek-ai/DeepSeek-V3/blob/main/DeepSeek-V3.pdf,https://chat.deepseek.com/,https://github.com/deepseek-ai/DeepSeek-V3,https://www.deepseek.com/news/deepseek-v3-1,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,2025-09-15T00:00:00.000000+00:00
2025-09-29,True,2025-09-29T00:00:00.000000+00:00,model,DeepSeek-V3.2-Exp is an experimental iteration introducing DeepSeek Sparse Attention (DSA) to improve long-context training and inference efficiency while keeping output quality on par with V3.1. It explores fine-grained sparse attention for extended sequence processing.,,,mit,,deepseek-v3.2-exp,False,DeepSeek-V3.2-Exp,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,685000000000,2025-09-29,https://api.deepseek.com/docs,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp/blob/main/DeepSeek_V3_2.pdf,https://chat.deepseek.com/,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,https://huggingface.co/deepseek-ai/DeepSeek-V3.2-Exp,,2025-09-29T00:00:00.000000+00:00
2024-12-13,True,2025-07-19T19:49:05.658016+00:00,model,"An advanced series of large Mixture-of-Experts (MoE) Vision-Language Models that significantly improves upon its predecessor, DeepSeek-VL. DeepSeek-VL2 demonstrates superior capabilities across various tasks, including but not limited to visual question answering, optical character recognition, document/table/chart understanding, and visual grounding.",,,deepseek,,deepseek-vl2,True,DeepSeek VL2,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,27000000000,2024-12-13,https://www.deepseek.com/,https://arxiv.org/pdf/2412.10302,https://huggingface.co/deepseek-ai/deepseek-vl2,https://github.com/deepseek-ai/DeepSeek-VL2?tab=readme-ov-file,,https://huggingface.co/deepseek-ai/deepseek-vl2,,2025-07-19T19:49:05.658016+00:00
2024-12-13,True,2025-07-19T19:49:05.666424+00:00,model,"An advanced series of large Mixture-of-Experts (MoE) Vision-Language Models that significantly improves upon its predecessor, DeepSeek-VL. DeepSeek-VL2 demonstrates superior capabilities across various tasks, including but not limited to visual question answering, optical character recognition, document/table/chart understanding, and visual grounding.",,,deepseek,,deepseek-vl2-small,True,DeepSeek VL2 Small,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,16000000000,2024-12-13,https://www.deepseek.com/,https://arxiv.org/pdf/2412.10302,https://huggingface.co/deepseek-ai/deepseek-vl2-small,https://github.com/deepseek-ai/DeepSeek-VL2,,https://huggingface.co/deepseek-ai/deepseek-vl2-small,,2025-07-19T19:49:05.666424+00:00
2024-12-13,True,2025-07-19T19:49:05.662552+00:00,model,"An advanced series of large Mixture-of-Experts (MoE) Vision-Language Models that significantly improves upon its predecessor, DeepSeek-VL. DeepSeek-VL2 demonstrates superior capabilities across various tasks, including but not limited to visual question answering, optical character recognition, document/table/chart understanding, and visual grounding.",,,deepseek,,deepseek-vl2-tiny,True,DeepSeek VL2 Tiny,CN,Chinese AI company developing state-of-the-art large language models including the DeepSeek-V3 series with mixture-of-experts architecture and hybrid thinking/non-thinking capabilities,deepseek,DeepSeek,https://deepseek.com,3000000000,2024-12-13,https://www.deepseek.com/,https://arxiv.org/pdf/2412.10302,https://huggingface.co/deepseek-ai/deepseek-vl2-tiny,https://github.com/deepseek-ai/DeepSeek-VL2,,https://huggingface.co/deepseek-ai/deepseek-vl2-tiny,,2025-07-19T19:49:05.662552+00:00
2024-02-15,True,2025-07-19T19:49:05.461784+00:00,model,"Gemini 1.0 Pro is a Natural Language Processing (NLP) model designed for tasks such as multi-turn text and code chat, and code generation. It supports text input and output, making it ideal for natural language tasks. The model is optimized for handling complex conversations and generating code snippets. It offers adjustable safety settings and supports function calling, but does not support JSON mode, JSON schema, or system instructions. The latest stable version is gemini-1.0-pro-001, and it was last updated in February 2024.",,2024-02-01,proprietary,,gemini-1.0-pro,False,Gemini 1.0 Pro,US,Technology giant with AI research,google,Google,https://google.com,,2024-02-15,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.0-pro,https://arxiv.org/pdf/2312.11805,https://gemini.google/advanced/,,https://blog.google/technology/ai/google-gemini-ai/#scalable-efficient,,,2025-07-19T19:49:05.461784+00:00
2024-05-01,True,2025-07-19T19:49:05.514569+00:00,model,"Gemini 1.5 Flash is a fast and versatile multimodal model for scaling across diverse tasks. It supports audio, images, video, and text input, and produces text output. The model is optimized for generating code, extracting data, editing text, and more, making it ideal for narrow, high-frequency tasks.",,2023-11-01,proprietary,,gemini-1.5-flash,True,Gemini 1.5 Flash,US,Technology giant with AI research,google,Google,https://google.com,,2024-05-01,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,https://arxiv.org/pdf/2403.05530,https://ai.google.dev/studio,,https://deepmind.google/technologies/gemini/flash/,,,2025-07-19T19:49:05.514569+00:00
2024-03-15,True,2025-07-19T19:49:05.530672+00:00,model,"A multimodal model capable of processing audio, images, video, and text with high efficiency. Features JSON mode, function calling, code execution, and system instructions support. Optimized for fast inference with 8B parameters.",,2024-10-01,proprietary,,gemini-1.5-flash-8b,True,Gemini 1.5 Flash 8B,US,Technology giant with AI research,google,Google,https://google.com,8000000000,2024-03-15,https://ai.google.dev/docs/gemini_1.5_flash,,https://ai.google.dev/studio,https://github.com/google/generative-ai,,,,2025-07-19T19:49:05.530672+00:00
