allow_commercial,analysis_method,announcement_date,available_in_zeroeval,benchmark_id,benchmark_name,categories_model,country,created_at,data_type,description_x,fine_tuned_from_model_id,implementation_link,is_self_reported,knowledge_cutoff,language_model,license_id_x,max_score_model,modality_model,model_benchmark_id,model_family_id,model_id,multilingual_model,multimodal_x,name_x,normalized_score,organization_country,organization_description,organization_id_x,organization_name_x,organization_website,paper_link,param_count_x,parent_benchmark_id,provider_id,release_date_x,score,self_reported_source_link,source_api_ref,source_paper,source_playground,source_repo_link,source_scorecard_blog_link,source_weights_link,training_tokens,updated_at,verification_date,verification_hardware,verification_notes,verification_provider_id,verified,verified_by_llmstats,website,param_count_disclosed_x,param_count_clean_x,training_tokens_disclosed_x,training_tokens_clean_x,score_clean,normalized_score_clean,license_type_x,release_year_x,release_month_x,release_year_month_x,cost_per_million_io_tokens,model_size_category_x,performance_category,name_y,organization_id_y,organization_name_y,param_count_y,param_count_clean_y,param_count_disclosed_y,training_tokens_clean_y,training_tokens_disclosed_y,multimodal_y,license_id_y,license_type_y,release_date_y,release_year_y,release_month_y,release_year_month_y,model_size_category_y,description_y,name,categories_benchmark,modality_benchmark,multilingual_benchmark,max_score_benchmark,language_benchmark,description,performance_ratio,is_general,is_code,is_math,is_reasoning,is_language,is_multimodal,is_safety,is_long_context,is_roleplay,is_agents,is_factuality,is_vision,is_multimodal_model,is_large_model,is_open_source,is_recent_model,is_2025_model,performance_tier,model_family
,3-shot F1 Score,,,drop,DROP,,,2025-07-19T19:56:13.021997+00:00,benchmark_result,,,,True,,,,,,961.0,,claude-3-5-sonnet-20240620,,,,0.871,,,anthropic,,,,,,,,0.871,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:13.021997+00:00,,,,,,False,,False,0.0,False,0.0,0.871,0.871,Unknown,,,,,Undisclosed,Very Good (80-89%),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",DROP,"['reasoning', 'math']",text,False,1.0,en,"DROP (Discrete Reasoning Over Paragraphs) is a reading comprehension benchmark requiring discrete reasoning over paragraph content. It contains crowdsourced, adversarially-created questions that require resolving references and performing discrete operations like addition, counting, or sorting, demanding comprehensive paragraph understanding beyond paraphrase-and-entity-typing shortcuts.",0.871,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Very Good (80-90%),claude
,0-shot CoT,,,gpqa,GPQA,,,2025-07-19T19:56:11.733246+00:00,benchmark_result,,,,True,,,,,,336.0,,claude-3-5-sonnet-20240620,,,,0.594,,,anthropic,,,,,,,,0.594,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:11.733246+00:00,,,,,,False,,False,0.0,False,0.0,0.594,0.594,Unknown,,,,,Undisclosed,Poor (<60%),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",GPQA,"['reasoning', 'general']",text,False,1.0,en,"A challenging dataset of 448 multiple-choice questions written by domain experts in biology, physics, and chemistry. Questions are Google-proof and extremely difficult, with PhD experts reaching 65% accuracy.",0.594,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),claude
,0-shot CoT,,,gsm8k,GSM8k,,,2025-07-19T19:56:13.107479+00:00,benchmark_result,,,,True,,,,,,1010.0,,claude-3-5-sonnet-20240620,,,,0.964,,,anthropic,,,,,,,,0.964,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:13.107479+00:00,,,,,,False,,False,0.0,False,0.0,0.964,0.964,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",GSM8k,"['math', 'reasoning']",text,False,1.0,en,"Grade School Math 8K, a dataset of 8.5K high-quality linguistically diverse grade school math word problems requiring multi-step reasoning and elementary arithmetic operations.",0.964,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SOTA (95%+),claude
,0-shot,,,humaneval,HumanEval,,,2025-07-19T19:56:12.676235+00:00,benchmark_result,,,,True,,,,,,804.0,,claude-3-5-sonnet-20240620,,,,0.92,,,anthropic,,,,,,,,0.92,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:12.676235+00:00,,,,,,False,,False,0.0,False,0.0,0.92,0.92,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",HumanEval,"['reasoning', 'code']",text,False,1.0,en,"A benchmark that measures functional correctness for synthesizing programs from docstrings, consisting of 164 original programming problems assessing language comprehension, algorithms, and simple mathematics",0.92,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Excellent (90-95%),claude
,0-shot CoT,,,math,MATH,,,2025-07-19T19:56:11.891344+00:00,benchmark_result,,,,True,,,,,,420.0,,claude-3-5-sonnet-20240620,,,,0.711,,,anthropic,,,,,,,,0.711,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:11.891344+00:00,,,,,,False,,False,0.0,False,0.0,0.711,0.711,Unknown,,,,,Undisclosed,Good (70-79%),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",MATH,"['math', 'reasoning']",text,False,1.0,en,"MATH dataset contains 12,500 challenging competition mathematics problems from AMC 10, AMC 12, AIME, and other mathematics competitions. Each problem includes full step-by-step solutions and spans multiple difficulty levels (1-5) across seven mathematical subjects including Prealgebra, Algebra, Number Theory, Counting and Probability, Geometry, Intermediate Algebra, and Precalculus.",0.711,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Good (70-80%),claude
,0-shot CoT,,,mgsm,MGSM,,,2025-07-19T19:56:13.710814+00:00,benchmark_result,,,,True,,,,,,1295.0,,claude-3-5-sonnet-20240620,,,,0.916,,,anthropic,,,,,,,,0.916,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:13.710814+00:00,,,,,,False,,False,0.0,False,0.0,0.916,0.916,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",MGSM,"['math', 'reasoning']",text,True,1.0,en,"MGSM (Multilingual Grade School Math) is a benchmark of grade-school math problems. Contains 250 grade-school math problems manually translated from the GSM8K dataset into ten typologically diverse languages: Spanish, French, German, Russian, Chinese, Japanese, Thai, Swahili, Bengali, and Telugu. Evaluates multilingual mathematical reasoning capabilities.",0.916,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Excellent (90-95%),claude
,5-shot CoT,,,mmlu,MMLU,,,2025-07-19T19:56:11.300996+00:00,benchmark_result,,,,True,,,,,,107.0,,claude-3-5-sonnet-20240620,,,,0.904,,,anthropic,,,,,,,,0.904,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:11.300996+00:00,,,,,,False,,False,0.0,False,0.0,0.904,0.904,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",MMLU,"['general', 'reasoning', 'language', 'math']",text,False,1.0,en,"Massive Multitask Language Understanding benchmark testing knowledge across 57 diverse subjects including STEM, humanities, social sciences, and professional domains",0.904,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Excellent (90-95%),claude
,5-shot,,,mmlu-pro,MMLU-Pro,,,2025-07-19T19:56:11.503274+00:00,benchmark_result,,,,True,,,,,,212.0,,claude-3-5-sonnet-20240620,,,,0.761,,,anthropic,,,,,,,,0.761,https://huggingface.co/spaces/TIGER-Lab/MMLU-Pro,,,,,,,,2025-07-19T19:56:11.503274+00:00,,,,,,False,,False,0.0,False,0.0,0.761,0.761,Unknown,,,,,Undisclosed,Good (70-79%),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",MMLU-Pro,"['language', 'reasoning', 'math', 'general']",text,False,1.0,en,"A more robust and challenging multi-task language understanding benchmark that extends MMLU by expanding multiple-choice options from 4 to 10, eliminating trivial questions, and focusing on reasoning-intensive tasks. Features over 12,000 curated questions across 14 domains and causes a 16-33% accuracy drop compared to original MMLU.",0.761,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Good (70-80%),claude
,test,,,ai2d,AI2D,,,2025-07-19T19:56:13.643744+00:00,benchmark_result,,,,True,,,,,,1260.0,,claude-3-5-sonnet-20241022,,,,0.947,,,anthropic,,,,,,,,0.947,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,,,,,,,,2025-07-19T19:56:13.643744+00:00,,,,,,False,,False,0.0,False,0.0,0.947,0.947,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model with industry-leading software engineering skills. It excels in coding, planning, and problem-solving, with significant improvements in agentic coding and tool use tasks. The model includes computer use capabilities in public beta, allowing it to interact with computer interfaces like a human user.",AI2D,"['vision', 'reasoning', 'multimodal']",multimodal,False,1.0,en,"AI2D is a dataset of 4,903 illustrative diagrams from grade school natural sciences (such as food webs, human physiology, and life cycles) with over 15,000 multiple choice questions and answers. The benchmark evaluates diagram understanding and visual reasoning capabilities, requiring models to interpret diagrammatic elements, relationships, and structure to answer questions about scientific concepts represented in visual form.",0.947,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Excellent (90-95%),claude
,3-shot CoT,,,big-bench-hard,BIG-Bench Hard,,,2025-07-19T19:56:13.256021+00:00,benchmark_result,,,,True,,,,,,1084.0,,claude-3-5-sonnet-20241022,,,,0.931,,,anthropic,,,,,,,,0.931,https://www.anthropic.com/news/3-5-models-and-computer-use,,,,,,,,2025-07-19T19:56:13.256021+00:00,,,,,,False,,False,0.0,False,0.0,0.931,0.931,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model with industry-leading software engineering skills. It excels in coding, planning, and problem-solving, with significant improvements in agentic coding and tool use tasks. The model includes computer use capabilities in public beta, allowing it to interact with computer interfaces like a human user.",BIG-Bench Hard,"['reasoning', 'math', 'language']",text,False,1.0,en,"BIG-Bench Hard (BBH) is a subset of 23 challenging BIG-Bench tasks selected because prior language model evaluations did not outperform average human-rater performance. The benchmark contains 6,511 evaluation examples testing various forms of multi-step reasoning including arithmetic, logical reasoning (Boolean expressions, logical deduction), geometric reasoning, temporal reasoning, and language understanding. Tasks require capabilities such as causal judgment, object counting, navigation, pattern recognition, and complex problem solving.",0.931,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Excellent (90-95%),claude
,"test, relaxed accuracy",,,chartqa,ChartQA,,,2025-07-19T19:56:12.819413+00:00,benchmark_result,,,,True,,,,,,872.0,,claude-3-5-sonnet-20241022,,,,0.908,,,anthropic,,,,,,,,0.908,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,,,,,,,,2025-07-19T19:56:12.819413+00:00,,,,,,False,,False,0.0,False,0.0,0.908,0.908,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model with industry-leading software engineering skills. It excels in coding, planning, and problem-solving, with significant improvements in agentic coding and tool use tasks. The model includes computer use capabilities in public beta, allowing it to interact with computer interfaces like a human user.",ChartQA,"['reasoning', 'vision', 'multimodal']",multimodal,False,1.0,en,"ChartQA is a large-scale benchmark comprising 9.6K human-written questions and 23.1K questions generated from human-written chart summaries, designed to evaluate models' abilities in visual and logical reasoning over charts.",0.908,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Excellent (90-95%),claude
